GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sample-JavaFX-Project,edu.westga.comp4420.javafx_sample.view.codebehind,MainWindow,84,59,9,3,29,19,7,4,2,3
Sample-JavaFX-Project,edu.westga.comp4420.javafx_sample,Main,27,0,0,0,9,0,3,0,3,0
